"Gencode Id","Gene Symbol","Nominal P-Value","Empirical P-Value","Q-Value","aFC","Tissue"
"ENSG00000182873.5","PRKCZ-AS1","2.951e-10","0.0000016587","0.00000325105","0.318372","Heart - Left Ventricle"
"ENSG00000162585.16","FAAP20","7.522260000000001e-24","5.65312e-19","3.4e-18","-0.284484","Heart - Left Ventricle"
"ENSG00000157933.9","SKI","0.0000150541","0.0456697","0.0389691","0.129065","Heart - Left Ventricle"
"ENSG00000269896.2","RP4-740C4.5","3.7626e-7","0.0015186","0.00191182","0.47023","Heart - Left Ventricle"
"ENSG00000272420.1","RP4-740C4.7","0.000016961","0.0506946","0.0424304","0.492471","Heart - Left Ventricle"
"ENSG00000116151.13","MORN1","1.07826e-8","0.000058557","0.0000930081","-0.272571","Heart - Left Ventricle"
"ENSG00000157911.9","PEX10","1.17091e-13","1.434e-9","3.98565e-9","0.219363","Heart - Left Ventricle"
"ENSG00000157870.14","FAM213B","0.00000229096","0.00795138","0.00859153","-0.395405","Heart - Left Ventricle"
"ENSG00000215912.12","TTC34","0.00000652749","0.0237476","0.0224033","0.503661","Heart - Left Ventricle"
"ENSG00000177133.10","LINC00982","0.00000868124","0.0335796","0.030059","-0.556259","Heart - Left Ventricle"
"ENSG00000162591.15","MEGF6","3.45585e-9","0.0000189877","0.0000322381","-0.432114","Heart - Left Ventricle"
"ENSG00000238260.1","RP11-46F15.2","0.0000157895","0.0612227","0.0496856","-0.417238","Heart - Left Ventricle"
"ENSG00000116213.15","WRAP73","1.6379199999999998e-20","5.19729e-16","2.49376e-15","0.208758","Heart - Left Ventricle"
"ENSG00000227372.11","TP73-AS1","0.00000144776","0.00661972","0.00726222","0.090449","Heart - Left Ventricle"
"ENSG00000116198.12","CEP104","1.11944e-12","1.18137e-8","2.94556e-8","-0.485717","Heart - Left Ventricle"
"ENSG00000169598.15","DFFB","2.83877e-11","2.54194e-7","5.4985e-7","-0.310257","Heart - Left Ventricle"
"ENSG00000198912.10","C1orf174","2.00844e-47","6.491560000000001e-41","1.39224e-39","0.479339","Heart - Left Ventricle"
"ENSG00000236423.5","LINC01134","4.90292e-8","0.00025719","0.000370306","0.874661","Heart - Left Ventricle"
"ENSG00000069424.14","KCNAB2","1.38975e-11","1.18795e-7","2.66034e-7","0.521352","Heart - Left Ventricle"
"ENSG00000131697.17","NPHP4","1.28376e-8","0.0000627761","0.0000993456","0.238441","Heart - Left Ventricle"
"ENSG00000226944.1","RP1-120G22.11","3.77387e-15","5.84757e-11","1.87014e-10","0.932803","Heart - Left Ventricle"
"ENSG00000158286.12","RNF207","1.61516e-15","2.92858e-11","9.66638e-11","-0.83863","Heart - Left Ventricle"
"ENSG00000116251.9","RPL22","0.00000344259","0.0115503","0.0119715","0.257004","Heart - Left Ventricle"
"ENSG00000116237.15","ICMT","0.00000367059","0.0111732","0.0116316","-0.24664","Heart - Left Ventricle"
"ENSG00000158292.6","GPR153","2.62916e-49","1.3792e-42","3.36467e-41","2.141589","Heart - Left Ventricle"
"ENSG00000097021.19","ACOT7","1.51275e-9","0.00000832831","0.0000148575","0.367156","Heart - Left Ventricle"
"ENSG00000116273.5","PHF13","0.0000179648","0.0512939","0.0428589","0.173994","Heart - Left Ventricle"
"ENSG00000162413.16","KLHL21","2.95415e-7","0.00113626","0.00146546","0.205428","Heart - Left Ventricle"
"ENSG00000041988.15","THAP3","2.81684e-13","3.50778e-9","9.29219e-9","-0.186766","Heart - Left Ventricle"
"ENSG00000049245.12","VAMP3","8.957e-13","7.57709e-9","1.92614e-8","0.153751","Heart - Left Ventricle"
"ENSG00000269925.1","RP3-467L1.6","0.0000096231","0.0236492","0.0223188","-0.423343","Heart - Left Ventricle"
"ENSG00000049246.14","PER3","0.0000180609","0.0434461","0.037374","-0.408128","Heart - Left Ventricle"
"ENSG00000116288.12","PARK7","6.07659e-14","7.44867e-10","2.13549e-9","0.140183","Heart - Left Ventricle"
"ENSG00000162426.14","SLC45A1","1.44939e-29","9.340730000000001e-24","7.732760000000001e-23","0.715752","Heart - Left Ventricle"
"ENSG00000142599.17","RERE","0.00000824779","0.021504","0.0205534","0.077959","Heart - Left Ventricle"
"ENSG00000074800.13","ENO1","1.39206e-36","4.704000000000001e-31","5.87561e-30","-0.474874","Heart - Left Ventricle"
"ENSG00000142583.17","SLC2A5","7.25046e-9","0.0000277374","0.0000460129","0.685418","Heart - Left Ventricle"
"ENSG00000180758.11","GPR157","8.98427e-13","7.34662e-9","1.87304e-8","-0.230223","Heart - Left Ventricle"
"ENSG00000049239.12","H6PD","1.4868300000000002e-23","1.50423e-18","8.80947e-18","-0.281174","Heart - Left Ventricle"
"ENSG00000188807.12","TMEM201","0.0000189995","0.0444932","0.0381487","0.214808","Heart - Left Ventricle"
"ENSG00000171608.15","PIK3CD","3.0095e-8","0.00011491","0.000174662","0.16667","Heart - Left Ventricle"
"ENSG00000171603.16","CLSTN1","0.0000193719","0.0494629","0.0415831","0.139364","Heart - Left Ventricle"
"ENSG00000178585.14","CTNNBIP1","0.0000145639","0.0379385","0.0333645","-0.131603","Heart - Left Ventricle"
"ENSG00000173614.13","NMNAT1","1.59613e-9","0.00000812281","0.0000145207","0.460031","Heart - Left Ventricle"
"ENSG00000175279.21","CENPS","2.19561e-16","3.35261e-12","1.20224e-11","0.329394","Heart - Left Ventricle"
"ENSG00000160049.11","DFFA","1.35465e-9","0.00000484839","0.00000896914","-0.121836","Heart - Left Ventricle"
"ENSG00000175262.14","C1orf127","5.54559e-8","0.000204226","0.000299516","0.69542","Heart - Left Ventricle"
"ENSG00000120948.16","TARDBP","0.0000117044","0.0285738","0.0262224","-0.617186","Heart - Left Ventricle"
